1,1,92,25
2,2,528,25
3,3,796,20
4,4,873,19
5,5,227,13
6,6,214,9
7,7,170,15
8,8,875,9
9,9,272,10
10,10,587,24
11,11,885,10
12,12,323,18
13,13,863,16
14,14,609,25
15,15,898,13
16,16,621,21
17,17,121,19
18,18,571,23
19,19,926,17
20,20,363,12
21,21,889,20
22,22,393,15
23,23,860,18
24,24,237,24
25,25,569,17
26,26,491,23
27,27,781,16
28,28,727,24
29,29,300,19
30,30,735,15
31,31,4,12
32,32,343,11
33,33,81,10
34,34,155,15
35,35,534,21
36,36,833,12
37,37,652,8
38,38,680,20
39,39,951,13
40,40,635,25
41,41,360,18
42,42,381,9
43,43,270,18
44,44,648,16
45,45,20,18
46,46,422,15
47,47,538,20
48,48,249,9
49,49,735,24
50,50,137,16
51,51,950,18
52,52,383,10
53,53,10,22
54,54,441,15
55,55,128,18
56,56,429,17
57,57,11,14
58,58,80,24
59,59,750,24
60,60,544,16
61,61,717,13
62,62,90,15
63,63,124,16
64,64,127,14
65,65,835,24
66,66,148,22
67,67,447,24
68,68,62,22
69,69,799,8
70,70,454,16
71,71,432,25
72,72,439,18
73,73,833,21
74,74,183,22
75,75,702,24
76,76,543,10
77,77,85,15
78,78,517,23
79,79,849,17
80,80,966,17
81,81,91,13
82,82,750,17
83,83,347,12
84,84,860,23
85,85,362,10
86,86,1000,21
87,87,575,17
88,88,515,8
89,89,737,13
90,90,608,20
91,91,11,23
92,92,610,15
93,93,254,24
94,94,386,24
95,95,358,12
96,96,757,11
97,97,659,17
98,98,513,11
99,99,690,22
100,100,182,15
101,101,368,14
